Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Abnish Kumar,Pediatrician,MD - Pediatrics,9,Wadala,Mumbai,94,134,1000
Dr. Rajasree S,Pediatrician,"Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh), MBBS",16,Santacruz West,Mumbai,94,134,1500
Dr. Saurabh Gandhi,Pediatrician,"MBBS, Diploma in Child Health (DCH)",8,Santacruz West,Mumbai,94,134,1200
Dr. Pratichi Kadam,Pediatrician,"MBBS, MD - Pediatrics",11,Santacruz West,Mumbai,94,134,1500
Dr. Pallavi Deshmukh Gaikwad,Pediatrician,"Diploma in Child Health (DCH), MBBS",13,Kandivali East,Mumbai,94,134,700
Dr. Mili S. Joshi,Pediatrician,"MBBS, Diploma in Child Health (DCH)",26,Santacruz East,Mumbai,97,112,1000
Dr. Indu Khosla,Pediatrician,"MBBS, Diploma in Child Health (DCH), MD - Pediatrics",33,Malad West,Mumbai,99,158,1000
Dr. Neha Agarwal,Pediatrician,"MBBS, DNB - Paediatrics",15,Kandivali East,Mumbai,100,15,600
Dr. Tanushri Mukherjee,Pediatrician,"MBBS, DNB - Paediatrics, Fellowship in Neonatology",17,Malad West,Mumbai,91,34,1000
Dr. Vipul Mehrotra,Pediatrician,"MBBS, Diploma in Child Health (DCH),  FCPS - Child Health",29,Andheri East,Mumbai,98,1755,1500
Dr. Smita Sachin Khaire,Pediatrician,"MBBS, Diploma in Child Health (DCH)",24,Dahisar East,Mumbai,98,53,500
Dr. Mona Gajre,Pediatrician,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH)",27,Powai,Mumbai,98,53,1600
Dr. Prakash Vasant Vaidya,Pediatrician,"MBBS, MD - Pediatrics",43,Mulund West,Mumbai,92,12,1300
Dr. Sanjeev Parikh,Pediatrician,"MBBS, MD - Pediatrics",38,Ghatkopar East,Mumbai,98,102,900
Dr. Vishal Parmar,Pediatrician,"Diploma in Child Health (DCH), MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",13,Mira Road,Mumbai,98,102,900
Dr. Lokesh Banodkar,Pediatrician,"MBBS, MD - Pediatrics",24,Ghatkopar East,Mumbai,98,102,1000
Dr. Shaivali Joshi,Pediatrician,"DNB - Pediatrics, Diploma in Child Health (DCH), MD - Pediatrics, FCPS - Child Health",26,Matunga West,Mumbai,98,102,1500
Dr. Rajen H Doshi,Pediatrician,"MBBS, MD - Pediatrics",34,Mulund West,Mumbai,61,18,1300
Dr. Udani Amish,Pediatrician,"MBBS, Diploma in Child Health (DCH), DNB - Paediatrics, MD - Pediatrics",20,Malad West,Mumbai,61,18,1250
Dr. Shruti Avinash Bajaj,Pediatrician,"MD - Pediatrics, MBBS",15,Malad West,Mumbai,61,18,2500
Dr. Sanjaykumar Yadav,Pediatrician,"Diploma in Child Health (DCH), MBBS, DNB - Pediatrics",16,Jogeshwari East,Mumbai,61,18,500
Dr. Piyush Sureshkumar Shah,Pediatrician,"MBBS, Diploma in Child Health (DCH)",18,Malad West,Mumbai,98,246,1000
Dr. Badshah Khan,Pediatrician,"MD - Physician, Diploma in Child Health (DCH)",21,Mira Road,Mumbai,98,246,900
Dr. Aditi Birje,Pediatrician,"MBBS, MD - Pediatrics",8,Borivali,Mumbai,100,23,800
Dr. Neil Castellino,Pediatrician,"MBBS, MD - Pediatrics",14,Santacruz West,Mumbai,100,23,1200
Dr. Neeta Naik,Pediatrician,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH), DNB - Paediatrics",32,Kurla,Mumbai,100,23,1500
Dr. Nandkishor S. Kabra,Pediatrician,"MBBS, DM - Neonatology, MD - Pediatrics",25,Santacruz West,Mumbai,100,23,1500
Dr. Vishal Baldua,Pediatrician,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH), FCCM",22,Goregaon East,Mumbai,98,133,800
Dr. Sujata Chitnis,Pediatrician,"MBBS, MD - Pediatrics",42,Vileparle East,Mumbai,100,33,1000
Dr. Ankit Gupta,Pediatrician,"MBBS, MD - Pediatrics",15,Mira Road,Mumbai,100,33,1000
Dr. Bijal Pradip,Pediatrician,"MBBS, MD - Pediatrics",27,Powai,Mumbai,75,12,1300
Dr. Disha Bhanushali,Pediatrician,"MBBS, Diploma in Child Health (DCH)",7,Mulund West,Mumbai,75,12,1000
Dr. Shivkumar G. Lalwani,Pediatrician,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH), DNB - Paediatrics, Fellowship in Neonatology",30,Powai,Mumbai,75,12,1000
Dr. Vinay H Joshi,Pediatrician,"MBBS, MD - Pediatrics",26,Malad West,Mumbai,75,12,1000
Dr. Ruchi Parikh,Pediatrician,"MBBS, DNB - Paediatrics",11,Santacruz West,Mumbai,75,12,1700
Dr. Shivani Sanghavi,Pediatrician,"MBBS, MD - Pediatrics",11,Ghatkopar West,Mumbai,75,12,800
Dr. Avi Sanghavi,Pediatrician,"MBBS, MD - Pediatrics, Fellowship in Neonatology",10,Ghatkopar West,Mumbai,75,12,800
Dr. Anupama M Gupta,Pediatrician,"MBBS, MD - Pediatrics",13,Chembur,Mumbai,100,58,1000
Dr. Alka Parekh,Pediatrician,"MBBS, MD - Pediatrics",38,Vikhroli,Mumbai,100,58,900
Dr. Rashi Aryan,Pediatrician,"MBBS, MD - Pediatrics",11,Powai,Mumbai,100,58,1200
Dr. Priyanka Parikh,Pediatrician,"MBBS, MD - Pediatrics, DNB - Paediatrics",26,Malad West,Mumbai,100,58,2500
Dr. Bhavesh Doshi,Pediatrician,"MS - Paediatrics Surgery, MBBS",14,Malad West,Mumbai,100,58,1100
Dr. Neha Pandey,Pediatrician,"MBBS, MD - Pediatrics",8,Malad West,Mumbai,100,58,800
Dr. Baijul Desai,Pediatrician,"DNB - Paediatrics, MBBS",9,Ghatkopar West,Mumbai,100,58,800
Dr. Samantha Castellino,Pediatrician,"MBBS, MD - Pediatrics",13,Andheri East,Mumbai,99,116,900
Dr. Kamlesh Haria,Pediatrician,"MBBS, MD - Pediatrics",23,Mahim,Mumbai,99,116,1300
Dr. Prajna Purushottam Shriyan,Pediatrician,"MBBS, Diploma in Child Health (DCH)",14,Andheri West,Mumbai,99,116,800
Dr. Prashant Abusaria,Pediatrician,"MBBS, MD - Pediatrics",7,Powai,Mumbai,99,116,1000
Dr. Patel Rajul Apurva,Pediatrician,"MBBS, DNB - Paediatrics",31,Santacruz East,Mumbai,99,116,1000
Dr. Aditi Dharap,Pediatrician,"MD - Pediatrics, MBBS",8,Mahim,Mumbai,99,116,850
Dr. Deepak K. Jaybhaye,Pediatrician,"MBBS, MD - Pediatrics",10,Bhandup West,Mumbai,99,116,500
Dr. Amruta Landge,Pediatrician,"MBBS, MD - Pediatrics",12,Chembur,Mumbai,99,116,1000
Dr. Deepak Devakar,Dermatologist,"MBBS, DDVL",19,JP Nagar,Bangalore,98,2477,600
Dr. Neelima Sharma,Dermatologist,"MBBS, DNB - Dermatology, Venereology & Leprosy",24,Jayanagar 9 Block,Bangalore,95,76,650
Dr. Sankeerth Vijayakumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,HSR Layout,Bangalore,97,471,700
Dr. Sheelavathi Natraj,Dermatologist,"MBBS, DDVL",19,JP Nagar,Bangalore,94,1344,700
Dr. Shashidhar T,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16,Jayanagar 4 Block,Bangalore,98,5381,700
Dr. Harish Prasad B.R,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",16,BTM Layout,Bangalore,96,687,700
Dr. Sridhar Gogineni,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",17,Marathahalli,Bangalore,98,890,600
Dr. Shankar D Desai,Dermatologist,"MBBS, MD - Skin,VD & Leprosy",38,Yeshwanthpur,Bangalore,65,20,850
Dr. Safia Tanyeem,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Koramangala 5 Block,Bangalore,92,89,750
Dr. Sujaya S.N.,Dermatologist,"MBBS, DDVL",19,HRBR Layout,Bangalore,98,536,750
Dr. K C Dharam Kumar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology, Venereology & Leprosy",9,JP Nagar,Bangalore,99,181,750
Dr. Veena Rao,Dermatologist,"MBBS, Diploma in Dermatology",24,Jayanagar 5 Block,Bangalore,96,211,600
Dr. Namrata Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,HSR Layout,Bangalore,100,54,600
Dr. Swetha Gowda,Dermatologist,"MBBS, MD - Dermatology",12,Indiranagar,Bangalore,92,90,600
Dr. Kisalay Saurav,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",20,Hebbal,Bangalore,93,429,1090
Dr. Shishira R J,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",11,HSR Layout,Bangalore,94,363,2000
Dr. Hema S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Sadashivanagar,Bangalore,98,40,600
Dr. Vignessh Raj,Dermatologist,"MBBS, DDVL",16,Whitefield,Bangalore,98,921,700
Dr. Radhika S R,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Mahalakshmi Layout,Bangalore,100,26,600
Dr. Eswari.L,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",22,Jayanagar 4 Block,Bangalore,100,26,600
Dr. Rakesh Reddy,Dermatologist,"MBBS, Master of Public Health (MPH), DDVL",24,Sanjay Nagar,Bangalore,94,97,500
Dr. Kavya K,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Horamavu,Bangalore,99,224,400
Dr. Priyanka K,Dermatologist,"MBBS, DNB - Dermatology, Venereology & Leprosy, MD - Dermatology , Venereology & Leprosy",7,Indiranagar,Bangalore,92,13,600
Dr. Parthasarathi Dutta Roy,Dermatologist,"MBBS, DDVL, MD - Skin,VD & Leprosy",20,MG Road,Bangalore,89,4869,700
Dr. Sharanya Babu K,Dermatologist,"MBBS, DDVL",14,Basavanagudi,Bangalore,97,34,600
Dr. Poovamma A S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",9,HSR Layout,Bangalore,95,22,600
Dr. Vidya T.S,Dermatologist,"MBBS, MD - Dermatology",28,Jayanagar,Bangalore,96,1001,700
Dr. Jaya Sathvika Varre,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,HRBR Layout,Bangalore,94,49,600
Dr. Juvita Rasquinha,Dermatologist,"MBBS, DDVL",18,Indiranagar,Bangalore,91,729,500
Dr. A Aruna Prasad,Dermatologist,"MBBS, DVD",27,Yeshwanthpur,Bangalore,90,891,850
Dr. Jyothi Menon,Dermatologist,"MBBS, DDVL",22,Koramangala 7 Block,Bangalore,96,56,600
Dr. P S Murthy,Dermatologist,"MBBS, MD - Dermatology and Venerology",41,Whitefield,Bangalore,96,56,900
Dr. Kala Vimal,Dermatologist,"MBBS, DDVL",22,Indiranagar,Bangalore,81,21,500
Dr. Ambresh Badad,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Sarjapur Road,Bangalore,97,39,300
Dr. Hari Kishan Kumar,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",17,Kengeri,Bangalore,83,63,700
Dr. Amrutha,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",14,Vijayanagar,Bangalore,70,27,1000
Dr. Yogeesh H R,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",30,Jayanagar,Bangalore,95,809,900
Dr. Deepa,Dermatologist,"MBBS, DDVL, DNB - Dermatology, Venereology & Leprosy",15,Sarjapur Road,Bangalore,98,311,600
Dr. Swathi Krishnappa,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",7,Hebbal,Bangalore,100,13,500
Dr. Smitha S V,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",4,HSR Layout,Bangalore,100,13,600
Dr. Neelima Ravipati,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Ulsoor,Bangalore,97,147,600
Dr. Dinesh Gowda,Dermatologist,"MBBS, DVD",35,Indiranagar,Bangalore,97,147,500
Dr. Sandeep Mahapatra,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",18,Marathahalli,Bangalore,90,1918,800
Dr. Anoop Gopal D S,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Koramangala 7 Block,Bangalore,91,45,600
Dr. Premalatha,Dermatologist,"MBBS, MD - Dermatology",13,HRBR Layout,Bangalore,91,45,600
Dr. Janet Alexander Castelino,Dermatologist,"MBBS, MD - Dermatology",30,HSR Layout,Bangalore,92,8130,2000
Dr. Shivashankar B. Sajjanshetty,Dermatologist,"MBBS, DDVL",19,JP Nagar 2 Phase,Bangalore,97,2249,750
Dr. Kiran Kattishettar,Dermatologist,"MBBS, MD - Dermatology",33,Hebbal,Bangalore,97,2249,1000
Dr. Rashmika Reddy,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Indiranagar,Bangalore,94,36,600
Dr. Kavya Nayak,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Sarjapur Road,Bangalore,96,1175,700
Dr. Madan Kumar B J,Dermatologist,"MBBS, DDVL",12,Old Airport Road,Bangalore,92,224,750
Dr. Nydile S V,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,HSR Layout,Bangalore,92,224,600
Dr. Aryambika Krishnan,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Yelahanka New Town,Bangalore,91,11,600
Dr. Renu Nair,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,HSR Layout,Bangalore,97,338,600
Dr. Smitha Warrier,Dermatologist,"MBBS, MD - Dermatology and Venerology",20,Bannerghatta Road,Bangalore,76,88,850
Dr. Akshitha Ratnakara Shetty,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Indiranagar,Bangalore,94,18,600
Dr. Govind S Mittal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Jayanagar,Bangalore,98,1059,800
Dr. Kapil Baheti,Dermatologist,"MBBS, MD - Dermatology",4,Sadashivanagar,Bangalore,98,1059,600
Dr. Abhishek Ponathil,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,Kadugodi,Bangalore,100,12,750
Dr. Varsha.R,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,HSR Layout,Bangalore,95,360,2000
Dr. Kavya H Reganti,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,JP Nagar,Bangalore,100,12,600
Dr. Aishwarya Radhakrishna,Dermatologist,"MBBS, DDVL",15,Jayanagar 5 Block,Bangalore,91,111,600
Dr. Lavina Mittal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",3,Rajajinagar,Bangalore,91,111,500
Dr. Jigisha N Jalu,Dermatologist,"MBBS, MD - Skin & VD",13,Whitefield,Bangalore,98,50,700
Dr. Sudheendra Udbalker,Dermatologist,"MBBS, DNB - Dermatology & Venereology, DDVL",22,Bannerghatta Road,Bangalore,97,201,850
Dr. Sneha Sood,Dermatologist,"MBBS, DDVL",11,Indiranagar,Bangalore,98,125,500
Dr. Dilshad Shetty,Dermatologist,"MBBS, DDVL",18,HRBR Layout,Bangalore,96,79,600
Dr. Sanjana Shivashankar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Indiranagar,Bangalore,93,96,650
Dr. Aradhana Sood,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",23,Hebbal,Bangalore,93,96,1090
Dr. Haritha Ravipati,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Ulsoor,Bangalore,97,62,600
Dr. Divya Gupta,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Old Airport Road,Bangalore,97,62,900
Dr. Girish C Panth,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",34,Bannerghatta Road,Bangalore,73,11,850
Dr. Rethvi Tej,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS, DNB - Dermatology, Venereology & Leprosy",13,Sadashivanagar,Bangalore,98,57,600
Dr. Vanita Mathew,Dermatologist,"MBBS, DDVL",16,Bannerghatta Road,Bangalore,98,57,850
Dr. Vandhana Manoharan,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",8,HRBR Layout,Bangalore,98,57,600
Dr. Jaidev N.C,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Millers Road,Bangalore,90,21,1000
Dr. Vishnu M Moodalgiri,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Electronics City,Bangalore,98,42,750
Dr. M G Gopal,Dermatologist,"MBBS, MD - Dermatology",37,Jayanagar,Bangalore,90,347,700
Dr. Yashovardhana D P,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16,Rajajinagar,Bangalore,90,347,500
Dr. J Prasad,Dermatologist,"MBBS, DVD",13,Sanjay Nagar,Bangalore,97,1327,600
Dr. Anuva Bansal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Pusa Road,Delhi,97,1327,1400
Dr. Sandeep Gupta,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Hari Nagar,Delhi,94,345,700
Dr. Pranjal Joshi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Shivalik,Delhi,95,59,900
Dr. Rakesh,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",12,Pitampura,Delhi,93,106,1000
Dr. Vijay Singhal,Dermatologist,"MBBS, MD - Dermatology",18,Punjabi Bagh,Delhi,94,325,800
Dr. Divya Chowdhry,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Pusa Road,Delhi,94,325,1300
Dr. Hemant Sharma,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",48,Pusa Road,Delhi,95,87,1500
Dr. Kashish Kalra,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",16,Saket,Delhi,96,308,1000
Dr. Kanu Verma,Dermatologist,"MBBS, MD - Dermatology",21,Dwarka,Delhi,93,169,1000
Dr. Namrata Ghai,Dermatologist,"MBBS, DDVL",22,Bali Nagar,Delhi,92,63,1000
Dr. Pallav S Kishanpuria,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Pusa Road,Delhi,95,55,1100
Dr. Neeharika Manchanda,Dermatologist,"MBBS, DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy",10,Ashok Vihar,Delhi,100,18,1000
Dr. Mahima Wadhwa,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Shalimar Bagh,Delhi,100,68,800
Dr. Nitika Nijhara,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",8,Patel Nagar East,Delhi,99,70,800
Dr. Indu Ballani,Dermatologist,"MBBS, MD - Dermatology",18,Pusa Road,Delhi,91,69,1000
Dr. Sunakshi Singh,Dermatologist,"MBBS, MD - (Dermatology & STD)",14,CR Park,Delhi,90,137,800
Dr. A J Kanwar,Dermatologist,"MBBS, MD - Dermatology and Venerology",52,Greater Kailash Part 1,Delhi,96,1357,1500
Dr. Sirisha Singh,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",29,Greater Kailash Part 1,Delhi,97,488,1700
Dr. Deepti  Shrivastava,Dermatologist,"MBBS, Diploma in Dermatology",28,Anand Vihar,Delhi,95,1061,800
Dr. S.B Shrivastava,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",48,Paschim Vihar,Delhi,88,33,800
Dr. Jatin Sidhwa,Dermatologist,"MBBS, MD - Dermatology",8,Vasant Kunj,Delhi,99,70,800
Dr. Geetika Srivastava,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",11,Hauz Khas,Delhi,98,126,1000
Dr. Richa Sharma,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",26,Dwarka,Delhi,96,1456,1500
Dr. Jalpa Jani,Dermatologist,"MBBS, DVD",21,Greater Kailash Part 2,Delhi,96,120,1000
Dr. Prateek Sondhi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",13,South Extension 2,Delhi,97,580,1200
Dr. Shruti Gupta,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Kamla Nagar,Delhi,99,2321,1000
Dr. Manu Saxena,Dermatologist,"MBBS, DVD",35,Greater Kailash Part 1,Delhi,99,2321,1000
Dr. Devinder M. Mahajan,Dermatologist,"MBBS, MD - Dermatology and Venerology",46,Sarita Vihar,Delhi,69,26,2000
Dr. Anju Mangla,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",28,Sarita Vihar,Delhi,67,42,800
Dr. Arihant Surana,Dermatologist,"DDV, MBBS",23,Defence Colony,Delhi,96,410,1000
Dr. Sumit Kumar Bose,Dermatologist,"MBBS, MD - Dermatology",36,Sarita Vihar,Delhi,96,410,2000
Dr. Vinod Kumar Khurana,Dermatologist,"MBBS, DVD, MD - Dermatology , Venereology & Leprosy",44,Punjabi Bagh,Delhi,96,410,1200
Dr. Manisha Chopra,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",25,Greater Kailash Part 2,Delhi,97,333,1000
Dr. Mudasir Khan,Dermatologist,"MBBS, Masters in Clinical Dermatology",29,Jasola,Delhi,94,106,800
Dr. Gunjan Verma,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",11,Dwarka,Delhi,95,92,500
Dr. Tapesh Sharma,Dermatologist,"MBBS, Diploma in Dermatology",25,Dwarka,Delhi,97,2957,1500
Dr. Anuj Saigal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Green Park,Delhi,97,194,1000
Dr. Amrendra kumar,Dermatologist,"MBBS, MD - Dermatology and Venerology",16,Defence Colony,Delhi,93,1112,1500
Dr. Navjot Singh Arora,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",12,Dwarka Sector 7,Delhi,97,348,800
Dr. Pradeep Bansal,Dermatologist,"MBBS, MD - Skin & VD",20,Shalimar Bagh,Delhi,97,831,900
Dr. Nitin S Walia,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",37,Saket,Delhi,96,96,1500
Dr. Gaurav Garg,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",16,Green Park,Delhi,92,630,1200
Dr. S.K Kashyap,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Vasant Vihar,Delhi,96,471,1500
Dr. Navnit Haror,Dermatologist,"DDVL, MBBS",10,Greater Kailash Part 1,Delhi,91,147,1000
Dr. Mukesh Girdhar,Dermatologist,"MBBS, MD - Dermatology",36,Patparganj,Delhi,76,41,1200
Dr. Renu Madan,Dermatologist,"MBBS, MD - Dermatology",25,Dwarka,Delhi,98,86,700
Dr. Rahul Arora,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Shalimar Bagh,Delhi,100,73,800
Dr. Aamir Siddiqui,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship In Cosmetic And Plastic Surgery",15,New Friends Colony,Delhi,96,869,2000
Dr. Naveen Saith,Dermatologist,"MBBS, MD - Skin & VD",35,Siri Fort Road,Delhi,100,11,1000
Dr. Rashmi Sharma,Dermatologist,"DNB - Dermatology & Venereology, MBBS, DDVL",14,Panchsheel Park,Delhi,89,44,1200
Dr. Bhavna Mangla,Dermatologist,"MBBS, DVD",21,Pitampura,Delhi,99,259,1000
Dr. Ravi Kumar Joshi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",40,Sarita Vihar,Delhi,99,259,2000
Dr. Monica Chahar,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",13,Dwarka Sector 19,Delhi,99,267,700
Dr. Rahul Nagar,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",15,Saket,Delhi,90,29,1000
Dr. Jaishree Noor,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",19,Vasant Vihar,Delhi,94,36,1500
Dr. Ranjan Upadhyay,Dermatologist,"MBBS, DDVL",19,Vasant Kunj,Delhi,97,1182,1500
Dr. Bhawna Bhardwaj,Dermatologist,"MBBS, DDVL",12,Greater Kailash Part 1,Delhi,91,11,600
Dr. Jasmine Kohli,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",4,Saket,Delhi,91,11,1000
Dr. Sachin Maurya,Dermatologist,"MBBS, Diploma in Dermatology",15,Okhla,Delhi,91,11,1000
Dr. Sweksha,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Safdarjung Enclave,Delhi,91,11,1500
Dr. Neha Tandon,Dermatologist,"MBBS, DVD, DNB - Dermatology & Venereology",16,Dwarka Sector 6,Delhi,91,11,900
Dr. Mahesh Verma,Dermatologist,"MD - Dermatology , Venereology & Leprosy",10,Rohini Sector 15,Delhi,56,16,800
Dr. Nisha Shokeen,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",10,Panchsheel Park,Delhi,56,16,1000
Dr. Sumaiyah Faizan,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",6,CR Park,Delhi,56,16,1000
Dr. Megha Tandon,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",5,Defence Colony,Delhi,56,16,1000
Dr. Chandni Jain,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",6,Lajpat Nagar,Delhi,56,16,1500
Dr. Urvashi Chandra,Dermatologist,"MBBS, MD - Skin,VD & Leprosy",17,Pitampura,Delhi,97,30,800
Dr. Vinay Singh,Dermatologist,"MBBS, MD - Dermatology",28,Pitampura,Delhi,92,721,1500
Dr. Vivek Singh,Dermatologist,"MBBS, DDV",14,Burari,Delhi,100,80,650
Dr. Sooneita Wagh Markan,Dermatologist,"MBBS, MD - Dermatology and Venerology",33,Hari Nagar,Delhi,96,1190,1000
Dr. Manoj Jain,Dermatologist,"MBBS, DVD, MD - Dermatology , Venereology & Leprosy",39,Vikas Puri,Delhi,91,802,1600
Dr. Sumit Sethi,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",12,Janakpuri,Delhi,97,152,900
Dr. Puneet Aggarwal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",21,Krishna Nagar,Delhi,85,13,800
Dr. Sushil Kumar Chaudhry,Dermatologist,"MBBS, Diploma in Dermatology",43,Safdarjung Enclave,Delhi,80,20,1000
Dr. Sonia Mangal,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",14,Panchsheel Park,Delhi,96,238,1500
Dr. Nipun Jain,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",26,Dwarka,Delhi,98,652,800
Dr. Vivek Mehta,Dermatologist,"MBBS, MD - Dermatology , Venereology & Leprosy",20,East Of Kailash,Delhi,96,858,1500
Dr. A.K.Chatterjee,Dermatologist,"MBBS, DVD",48,Ram Nagar,Delhi,96,858,700
Dr. Ashwini Kedar,Dermatologist,"MBBS, DDVL",18,Old Rajendra Nagar,Delhi,95,40,500
Dr. Lipy Gupta,Dermatologist,"MD - Dermatology , Venereology & Leprosy, MBBS",18,Green Park,Delhi,96,1510,800
Dr. Divya Aggarwal,Dermatologist,"MBBS, MD - Skin & VD",21,Shalimar Bagh,Delhi,98,2523,800
Dr. Munish Paul,Dermatologist,"MBBS, MD - Skin & VD",28,Dwarka Sector 6,Delhi,82,74,900
